Index	Sylheti (Romanized)	Sylheti (Bangla Script)	Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ)	Bangla (Standard)	English (Standard)	Russian (Русский)	German (Deutsch)	Domain	Register
1	Tumar nam kita?	তুমার নাম কিতা?	ꠔꠥꠝꠣꠞ ꠘꠣꠝ ꠇꠤꠔꠣ?	তোমার নাম কী?	What is your name?	Как тебя зовут?	Wie heißt du?	Personal	Standard
2	He bazaro zay	হে বাজারো যায়	ꠢꠦ ꠛꠣꠎꠣꠞꠧ ꠎꠣꠄ	সে বাজারে যায়	He goes to the market	Он идет на рынок	Er geht auf den Markt	General	Standard
3	Amra Siloti xikram	আমরা ছিলটি শিকরাম	ꠀꠝꠞꠣ ꠍꠤꠟꠐꠤ ꠡꠤꠇꠞꠣꠝ	আমরা সিলেটি শিখছি	We are learning Sylheti	Мы изучаем силхети	Wir lernen Sylheti	Education	Standard
4	Tumi fani xao	তুমি ফানি খাও	ꠔꠥꠝꠤ ꠚꠣꠘꠤ ꠈꠣꠅ	তুমি পানি খাও	You drink water	Ты пьешь воду	Du trinkst Wasser	General	Standard
5	Tai boi foṛe	তাই বই ফড়ে	ꠔꠣꠁ ꠛꠁ ꠚꠠꠦ	সে বই পড়ে	She reads a book	Она читает книгу	Sie liest ein Buch	Education	Standard
6	Ikano ao	ইখানো আও	ꠁꠈꠣꠘꠧ ꠀꠅ	এখানে এসো	Come here	Иди сюда	Komm her	General	Standard
6.1	Iṭat ao	ইটাত আও	ꠁꠐꠣꠔ ꠀꠅ	এখানে এসো	Come here	Иди сюда	Komm her	General	Regional
7	Ami zani na	আমি জানি না	ꠀꠝꠤ ꠎꠣꠘꠤ ꠘꠣ	আমি জানি না	I do not know	Я не знаю	Ich weiß es nicht	General	Standard
8	He xamta kôrse	হে কামটা করছে	ꠢꠦ ꠇꠣꠝꠐꠣ ꠇꠞꠍꠦ	সে কাজটি করেছে	He did the work	Он сделал эту работу	Er hat die Arbeit gemacht	General	Standard
8.1	He xamgu kôrse	হে কামগু করছে	ꠢꠦ ꠇꠣꠝꠉꠥ ꠇꠞꠍꠦ	সে কাজটি করেছে	He did the work	Он сделал эту работу	Er hat die Arbeit gemacht	General	Regional
9	Bela uṭse	বেলা উঠছে	ꠛꠦꠟꠣ ꠃꠐꠍꠦ	রোদ উঠেছে	The sun has risen	Солнце взошло	Die Sonne ist aufgegangen	Nature	Standard
10	Megh dier	মেঘ দিয়ের	ꠝꠦꠊ ꠖꠤꠄꠞ	বৃষ্টি হচ্ছে	It is raining	Идет дождь	Es regnet	Nature	Standard
11	Tumi kuno zairay?	তুমি কুনো যাইরায়?	ꠔꠥꠝꠤ ꠇꠥꠘꠧ ꠎꠣꠁꠞꠣꠄ?	তুমি কোথায় যাচ্ছ?	Where are you going?	Куда ты идешь?	Wohin gehst du?	General	Standard
11.1	Tumi koi zairay?	তুমি কই যাইরায়?	ꠔꠥꠝꠤ ꠇꠁ ꠎꠣꠁꠞꠣꠄ?	তুমি কোথায় যাচ্ছ?	Where are you going?	Куда ты идешь?	Wohin gehst du?	General	Regional
12	Amare boigu deo	আমারে বইগু দেও	ꠀꠝꠣꠞꠦ ꠛꠁꠉꠥ ꠖꠦꠅ	আমাকে বইটি দাও	Give me the book	Дай мне книгу	Gib mir das Buch	General	Standard
12.1	Amare boiṭa deo	আমারে বইটা দেও	ꠀꠝꠣꠞꠦ ꠛꠁꠐꠣ ꠖꠦꠅ	আমাকে বইটি দাও	Give me the book	Дай мне книгу	Gib mir das Buch	General	Regional
13	Fua-e kander	ফুয়া-এ কান্দের	ꠚꠥꠀ-ꠄ ꠇꠣꠘ꠆ꠖꠦꠞ	ছেলেটি কাঁদছে	The boy is crying	Мальчик плачет	Der Junge weint	General	Standard
14	Randani xesh	রান্দানি শেষ	ꠞꠣꠘ꠆ꠖꠣꠘꠤ ꠡꠦꠡ	রান্না শেষ	Cooking is finished	Готовка закончена	Das Kochen ist fertig	General	Standard
15	He douṛia ailo	হে দৌড়িয়া আইলো	ꠢꠦ ꠖꠃꠠꠤꠀ ꠀꠁꠟꠧ	সে দৌড়ে এলো	He came running	Он прибежал	Er kam gerannt	General	Standard
16	Tumi zaitay nay ni?	তুমি যাইতায় নায় নি?	ꠔꠥꠝꠤ ꠎꠣꠁꠔꠣꠄ ꠘꠣꠄ ꠘꠤ?	তুমি কি যাবে না?	Will you not go?	Ты не пойдешь?	Wirst du nicht gehen?	General	Standard
17	Ita kene kôrlay?	ইতা কেনে করলায়?	ꠁꠔꠣ ꠇꠦꠘꠦ ꠇꠞꠟꠣꠄ?	এটা কেন করলে?	Why did you do this?	Почему ты это сделал?	Warum hast du das gemacht?	General	Standard
18	Ami kuntu deksi na	আমি কুনতু দেখছি না	ꠀꠝꠤ ꠇꠥꠘꠔꠥ ꠖꠦꠈꠍꠤ ꠘꠣ	আমি কিছু দেখিনি	I didn't see anything	Я ничего не видел	Ich habe nichts gesehen	General	Standard
19	Baṛit keu nai	বাড়িত কেউ নাই	ꠛꠣꠠꠤꠔ ꠇꠦꠃ ꠘꠣꠁ	বাড়িতে কেউ নেই	Nobody is at home	Дома никого нет	Niemand ist zu Hause	General	Standard
20	Tumi kaiso ni?	তুমি খাইছো নি?	ꠔꠥꠝꠤ ꠈꠣꠁꠍꠧ ꠘꠤ?	তুমি কি খেয়েছ?	Have you eaten?	Ты поел?	Hast du gegessen?	General	Standard
21	He aij aier ni?	হে আইজ আইয়ের নি?	ꠢꠦ ꠀꠁꠎ ꠀꠁꠄꠞ ꠘꠤ?	সে কি আজ আসছে?	Is he coming today?	Он придет сегодня?	Kommt er heute?	General	Standard
22	Ami kunudin okano zaitam nay	আমি কুনুদিন অখানো যাইতাম নায়	ꠀꠝꠤ ꠇꠥꠘꠥꠖꠤꠘ ꠅꠈꠣꠘꠧ ꠎꠣꠁꠔꠣꠝ ꠘꠣꠄ	আমি কোনোদিন সেখানে যাব না	I will never go there	Я никогда туда не поеду	Ich werde nie dorthin gehen	General	Standard
23	Itar dam kôto?	ইটার দাম কতো?	ꠁꠐꠣꠞ ꠖꠣꠝ ꠇꠔꠧ?	এটার দাম কত?	How much does this cost?	Сколько это стоит?	Wie viel kostet das?	Commerce	Standard
24	Bexi mat matio na	বেশি মাত মাতিও না	ꠛꠦꠡꠤ ꠝꠣꠔ ꠝꠣꠔꠤꠅ ꠘꠣ	বেশি কথা বলো না	Do not talk too much	Не говори слишком много	Sprich nicht zu viel	General	Standard
25	He bôṛô bala manush	হে বড় বালা মানুষ	ꠢꠦ ꠛꠠ ꠛꠣꠟꠣ ꠝꠣꠘꠥꠡ	সে খুব ভালো মানুষ	He is a very good man	Он очень хороший человек	Er ist ein sehr guter Mann	General	Standard
26	Amra kailku zaimu	আমরা কাইলকু যাইমু	ꠀꠝꠞꠣ ꠇꠣꠁꠟꠇꠥ ꠎꠣꠁꠝꠥ	আমরা আগামীকাল যাব	We will go tomorrow	Мы пойдем завтра	Wir werden morgen gehen	General	Standard
27	Amar hit lager	আমার শীত লাগের	ꠀꠝꠣꠞ ꠢꠤꠔ ꠟꠣꠉꠦꠞ	আমার শীত লাগছে	I am feeling cold	Мне холодно	Mir ist kalt	General	Standard
28	Tumi bôo	তুমি বও	ꠔꠥꠝꠤ ꠛꠅ	তুমি বসো	You sit down	Садись	Setz dich	General	Standard
29	Ami ghumaitam sai	আমি ঘুমাইতাম চাই	ꠀꠝꠤ ꠊꠥꠝꠣꠁꠔꠣꠝ ꠌꠣꠁ	আমি ঘুমাতে চাই	I want to sleep	Я хочу спать	Ich möchte schlafen	General	Standard
30	Tai shundor gan gay	তাই শুন্দর গান গায়	ꠔꠣꠁ ꠡꠥꠘ꠆ꠖꠞ ꠉꠣꠘ ꠉꠣꠄ	সে সুন্দর গান গায়	She sings beautifully	Она красиво поет	Sie singt wunderschön	General	Standard
31	Fani ano	ফানি আনো	ꠚꠣꠘꠤ ꠀꠘꠧ	পানি আনো	Bring the water	Принеси воду	Bring das Wasser	General	Standard
32	Amar matha bishar	আমার মাথা বিষার	ꠀꠝꠣꠞ ꠝꠣꠕꠣ ꠛꠤꠡꠣꠞ	আমার মাথা ব্যথা করছে	My head hurts	У меня болит голова	Mein Kopf tut weh	Health	Standard
32.1	Amar matha bedna khorer	আমার মাথা বেদনা খরের	ꠀꠝꠣꠞ ꠝꠣꠕꠣ ꠛꠦꠖꠘꠣ ꠈꠞꠦꠞ	আমার মাথা ব্যথা করছে	My head hurts	У меня болит голова	Mein Kopf tut weh	Health	Regional
33	Bilai ghumar	বিলাই ঘুমার	ꠛꠤꠟꠣꠁ ꠊꠥꠝꠣꠞ	বিড়াল ঘুমাচ্ছে	The cat is sleeping	Кошка спит	Die Katze schläft	Nature	Standard
34	Kukur-e bugar	কুকুর-এ বুগার	ꠇꠥꠇꠥꠞ-ꠄ ꠛꠥꠉꠣꠞ	কুকুরটি ডাকছে	The dog is barking	Собака лает	Der Hund bellt	Nature	Standard
35	Ami tumare bala fai	আমি তুমারে বালা ফাই	ꠀꠝꠤ ꠔꠥꠝꠣꠞꠦ ꠛꠣꠟꠣ ꠚꠣꠁ	আমি তোমাকে ভালোবাসি	I love you	Я люблю тебя	Ich liebe dich	Personal	Standard
36	He xub bala Siloti mate	হে খুব বালা ছিলটি মাতে	ꠢꠦ ꠈꠥꠛ ꠛꠣꠟꠣ ꠍꠤꠟꠐꠤ ꠝꠣꠔꠦ	সে খুব ভালো সিলেটি বলে	He speaks Sylheti very well	Он очень хорошо говорит на силхети	Er spricht sehr gut Sylheti	General	Standard
37	Tare dexo	তারে দেখো	ꠔꠣꠞꠦ ꠖꠦꠈꠧ	তাকে দেখো	Look at him	Посмотри на него	Schau ihn an	General	Standard
38	Amar mat huno	আমার মাত হুনো	ꠀꠝꠣꠞ ꠝꠣꠔ ꠢꠥꠘꠧ	আমার কথা শোনো	Listen to me	Послушай меня	Hör mir zu	General	Standard
39	Dôrza bôndo kôro	দরজা বন্দ করো	ꠖꠞꠎꠣ ꠛꠘ꠆ꠖ ꠇꠞꠧ	দরজা বন্ধ করো	Close the door	Закрой дверь	Mach die Tür zu	General	Standard
40	Zanla kulo	জানলা কুলো	ꠎꠣꠘꠟꠣ ꠇꠥꠟꠧ	জানালা খোলো	Open the window	Открой окно	Öffne das Fenster	General	Standard
41	Ita hasa ni?	ইতা হাছা নি?	ꠁꠔꠣ ꠢꠣꠍꠣ ꠘꠤ?	এটা কি সত্যি?	Is it true?	Это правда?	Ist das wahr?	General	Standard
42	Ita misa mat	ইতা মিছা মাত	ꠁꠔꠣ ꠝꠤꠍꠣ ꠝꠣꠔ	এটা মিথ্যা কথা	It is a lie	Это ложь	Das ist eine Lüge	General	Standard
43	Tuṛa zeirao	তুড়া জেইরাও	ꠔꠥꠠꠣ ꠎꠦꠁꠞꠣꠅ	একটু বিশ্রাম নাও	Rest a little	Отдохни немного	Ruh dich ein wenig aus	General	Standard
44	Tumi kitta kôray?	তুমি কিত্তা করায়?	ꠔꠥꠝꠤ ꠇꠤꠔ꠆ꠔꠣ ꠇꠞꠣꠄ?	তুমি কী করছ?	What are you doing?	Что ты делаешь?	Was machst du?	General	Standard
44.1	Tumi kita kôray?	তুমি কিতা করায়?	ꠔꠥꠝꠤ ꠇꠤꠔꠣ ꠇꠞꠣꠄ?	তুমি কী করছ?	What are you doing?	Что ты делаешь?	Was machst du?	General	Regional
