Index,Sylheti (Romanized),Sylheti (Bangla Script),Bangla (Standard),English (Standard),Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ),Russian (Русский),German (Deutsch),Domain,POS,Register
1.1,Satani,ছাতানি,বিরক্ত করা,To annoy / To bother,ꠍꠣꠔꠣꠘꠤ,Раздражать,Nerven,Daily Life,Verb,Informal
1.2,Atani,আতানি,হাত দেওয়া,To touch / To grope,ꠀꠔꠣꠘꠤ,Трогать,Berühren,Daily Life,Verb,Informal
1.3,Zatani,যাতানি,চাপ দেওয়া,To press / To squeeze,ꠎꠣꠔꠣꠘꠤ,Давить,Drücken,Daily Life,Verb,Informal
1.4,Hutani,হুতানি,শুইয়ে দেওয়া,To lay down,ꠢꠥꠔꠣꠘꠤ,Укладывать,Hinlegen,Daily Life,Verb,Informal
1.5,Kutani,কুতানি,কোঁতানি (কষ্ট করা),To strain,ꠇꠥꠔꠣꠘꠤ,Тужиться,Pressen,Daily Life,Verb,Slang
1.6,Mutani,মুতানি,প্রস্রাব করানো,To make pee,ꠝꠥꠔꠣꠘꠤ,Заставлять писать,Pinkeln lassen,Daily Life,Verb,Slang
1.7,Erani-melani,এরানি-মেলানি,হাসাহাসি করা,Excessive laughing,ꠄꠞꠣꠘꠤ-ꠝꠦꠟꠣꠘꠤ,Смеяться,Lachen,Daily Life,Verb / Noun,Slang
1.8,Xandani / Khandani,কান্দানি,কাঁদানো,To make cry,ꠈꠣꠘ꠆ꠖꠣꠘꠤ,Доводить до слез,Zum Weinen bringen,Daily Life,Verb,Standard
1.9,Hikhani,হিখানি,শেখানো,To teach,ꠢꠤꠇꠣꠘꠤ,Обучать / Учить,Unterrichten / Lehren,Education,Verb,Standard
1.10,Zirani,জিরানি,বিশ্রাম নেওয়া,To rest,ꠎꠤꠞꠣꠘꠤ,Отдыхать,Sich ausruhen,Daily Life,Verb,Standard
1.11,Khauani / Xauani,খাওয়ানি,খাওয়ানো,To feed,ꠈꠣꠅꠀꠘꠤ,Кормить,Füttern,Daily Life,Verb,Standard
1.12,Dourani,দৌড়ানি,তাড়া করা / দৌড়ানো,To chase / To make run,ꠖꠦꠃꠠꠣꠘꠤ,Гнаться / Заставлять бежать,Jagen / Rennen lassen,Daily Life,Verb,Informal
1.13,Hukani,হুকানি,শুকানো,To dry,ꠢꠥꠇꠣꠘꠤ,Сушить,Trocknen,Daily Life,Verb,Standard
1.14,Tukani,টুকানি,খোঁজা / সংগ্রহ করা,To search / To glean,ꠐꠥꠇꠣꠘꠤ,Искать / Собирать,Suchen / Sammeln,Daily Life,Verb,Standard
1.15,Zalani,জ্বালানি,জ্বালানো / পোড়ানো,To burn / To light up,ꠎꠣꠟꠣꠘꠤ,Сжигать / Зажигать,Verbrennen / Anzünden,Daily Life,Verb,Standard
